,type,name,iso_country,iso_region,municipality,iata_code,coordinates
0,heliport,Total Rf Heliport,US,US-PA,Bensalem,,"40.07080078125, -74.93360137939453"
1,small_airport,Aero B Ranch Airport,US,US-KS,Leoti,,"38.704022, -101.473911"
2,small_airport,Lowell Field,US,US-AK,Anchor Point,,"59.94919968, -151.695999146"
3,small_airport,Epps Airpark,US,US-AL,Harvest,,"34.86479949951172, -86.77030181884766"
4,closed,Newport Hospital & Clinic Heliport,US,US-AR,Newport,,"35.6087, -91.254898"
5,small_airport,Fulton Airport,US,US-OK,Alex,,"34.9428028, -97.8180194"
6,small_airport,Cordes Airport,US,US-AZ,Cordes,,"34.305599212646484, -112.16500091552734"
7,small_airport,Goldstone /Gts/ Airport,US,US-CA,Barstow,,"35.350498199499995, -116.888000488"
8,small_airport,Williams Ag Airport,US,US-CA,Biggs,,"39.427188, -121.763427"
9,heliport,Kitchen Creek Helibase Heliport,US,US-CA,Pine Valley,,"32.7273736, -116.4597417"
10,closed,Cass Field,US,US-CO,Briggsdale,,"40.622202, -104.344002"
11,small_airport,Grass Patch Airport,US,US-FL,Bushnell,,"28.64550018310547, -82.21900177001953"
12,heliport,Ringhaver Heliport,US,US-FL,Riverview,,"28.846599578857422, -82.34539794921875"
13,small_airport,River Oak Airport,US,US-FL,Okeechobee,,"27.230899810791016, -80.96920013427734"
14,small_airport,Lt World Airport,US,US-GA,Lithonia,,"33.76750183105469, -84.06829833984375"
15,heliport,Caffrey Heliport,US,US-GA,Hiram,,"33.88420104980469, -84.73390197753906"
16,heliport,Kaupulehu Heliport,US,US-HI,Kailua/Kona,,"19.832715, -155.980233"
17,small_airport,Delta Shores Airport,US,US-ID,Clark Fork,,"48.145301818847656, -116.21399688720703"
18,small_airport,Goltl Airport,US,US-KS,McDonald,,"39.724028, -101.395994"
19,heliport,Bailey Generation Station Heliport,US,US-IN,Chesterton,,"41.644500732421875, -87.122802734375"
20,small_airport,Hammer Airport,US,US-IL,Polo,,"41.97840118408203, -89.5604019165039"
21,heliport,St Mary Medical Center Heliport,US,US-IN,Hobart,,"41.51139831542969, -87.2605972290039"
22,small_airport,Hayenga's Cant Find Farms Airport,US,US-IL,Kings,,"40.02560043334961, -89.1229019165039"
23,small_airport,Hayden Farm Airport,US,US-KS,Gardner,,"38.72779846191406, -94.93049621582031"
24,small_airport,Robbins Roost Airport,US,US-KY,Stanford,,"37.409400939941406, -84.61969757080078"
25,heliport,Shell Chemical East Site Heliport,US,US-LA,Gonzales,,"30.191944, -90.980833"
26,heliport,Ac & R Components Heliport,US,US-IL,Chatham,,"39.66529846191406, -89.70559692382812"
27,small_airport,Lejeune Airport,US,US-LA,Esterwood,,"30.13629913330078, -92.42939758300781"
28,small_airport,Slater Field,US,US-MD,Federalsburg,,"38.75709915161133, -75.75379943847656"
29,heliport,Dow Chemical Heliport,US,US-MI,Ludington,,"43.94940185546875, -86.41670227050781"
30,small_airport,Battle Lake Municipal Airport,US,US-MN,Battle Lake,,"46.29999923706055, -95.70030212402344"
31,small_airport,Cooper Flying Service Airport,US,US-MO,Alba,,"37.202800750732, -94.412399291992"
32,closed,Sands Ranch Airport,US,US-MT,Havre,,"48.537498, -109.705002"
33,small_airport,Bucks Airport,US,US-NJ,Bridgeton,,"39.473201751708984, -75.1852035522461"
34,small_airport,North Raleigh Airport,US,US-NC,Louisburg,,"36.085201263427734, -78.37139892578125"
35,heliport,Colgate-Piscataway Heliport,US,US-NJ,New Brunswick,,"40.52090072631836, -74.47460174560547"
36,seaplane_base,Cliche Cove Seaplane Base,US,US-NY,Beekmantown,,"44.8118612, -73.3698057"
37,small_airport,Weiss Airfield,US,US-NY,West Bloomfield,,"42.90010070800781, -77.49970245361328"
38,small_airport,Exit 3 Airport,US,US-OH,Wauseon,,"41.59090042114258, -84.14219665527344"
39,heliport,Miami Valley Hospital Heliport,US,US-OH,Dayton,,"39.74530029296875, -84.1874008178711"
40,small_airport,Gull Bay Landing Airport,US,US-OK,Sandsprings,,"36.198598, -96.217693"
41,heliport,Steel Systems Heliport,US,US-OR,Salem,,"44.932899475097656, -123.12999725341797"
42,heliport,R J D Heliport,US,US-PA,Coatesville,,"39.94889831542969, -75.74690246582031"
43,small_airport,Ferrell Field,US,US-PA,Mercer,,"41.2995, -80.211111"
44,closed,Thomas Field,US,US-PA,Loysville,,"40.3778, -77.365303"
