,gdp,city,state
0,6659.5,Abilene,TX
1,30659.5,Akron,OH
2,5187,Albany,GA
3,3544.5,Albany,OR
4,46412.5,Albany,NY
5,46412.5,Schenectady,NY
6,46412.5,Troy,NY
7,38426,Albuquerque,NM
8,5460.5,Alexandria,LA
9,34809.5,Allentown,PA-NJ
10,34809.5,Bethlehem,PA-NJ
11,34809.5,Easton,PA-NJ
12,4853,Altoona,PA
13,12233.5,Amarillo,TX
14,4422.5,Ames,IA
15,31254.5,Anchorage,AK
16,20043,Ann Arbor,MI
17,3756.5,Anniston,AL
18,3756.5,Oxford,AL
19,3756.5,Jacksonville,AL
20,10779.5,Appleton,WI
21,14995,Asheville,NC
22,7299,Athens,GA
23,7299,Clarke County,GA
24,299615.5,Atlanta,GA
25,299615.5,Sandy Springs,GA
26,299615.5,Roswell,GA
27,12711.5,Atlantic City,NJ
28,12711.5,Hammonton,NJ
29,4253,Auburn,AL
30,4253,Opelika,AL
31,21082.5,Augusta,GA-SC
32,21082.5,Richmond County,GA-SC
33,107616.5,Austin,TX
34,107616.5,Round Rock,TX
35,37448.5,Bakersfield,CA
36,165023,Baltimore,MD
37,165023,Columbia,MD
38,165023,Towson,MD
39,5438.5,Bangor,ME
40,10078.5,Barnstable Town,MA
41,50016,Baton Rouge,LA
42,5469,Battle Creek,MI
43,3136.5,Bay City,MI
44,23533.5,Beaumont,TX
45,23533.5,Port Arthur,TX
46,4291,Beckley,WV
47,9828.5,Bellingham,WA
48,6651.5,Bend,OR
49,6651.5,Redmond,OR
50,8860.5,Billings,MT
51,9075.5,Binghamton,NY
52,57654,Birmingham,AL
53,57654,Hoover,AL
54,6663.5,Bismarck,ND
55,6303,Blacksburg,VA
56,6303,Christiansburg,VA
57,6303,Radford,VA
58,11001,Bloomington,IL
59,6288,Bloomington,IN
60,3517,Bloomsburg,PA
61,3517,Berwick,PA
62,26883.5,Boise City,ID
63,360194.5,Boston,MA-NH
64,360194.5,Cambridge,MA-NH
65,360194.5,Newton,MA-NH
66,20818.5,Boulder,CO
67,6119.5,Bowling Green,KY
68,9452,Bremerton,WA
69,9452,Silverdale,WA
70,91493,Bridgeport,CT
71,91493,Stamford,CT
72,91493,Norwalk,CT
73,9257.5,Brownsville,TX
74,9257.5,Harlingen,TX
75,3469.5,Brunswick,GA
76,52035,Buffalo,NY
77,52035,Cheektowaga,NY
78,52035,Niagara Falls,NY
79,4902,Burlington,NC
80,12270.5,Burlington,VT
81,12270.5,South Burlington,VT
82,5765,California,MD
83,5765,Lexington Park,MD
84,15350,Canton,OH
85,15350,Massillon,OH
86,21559.5,Cape Coral,FL
87,21559.5,Fort Myers,FL
88,3810.5,Cape Girardeau,MO-IL
89,4868,Carbondale,IL
90,4868,Marion,IL
91,3316,Carson City,NV
92,6696.5,Casper,WY
93,16290,Cedar Rapids,IA
94,4771,Chambersburg,PA
95,4771,Waynesboro,PA
96,11037.5,Champaign,IL
97,11037.5,Urbana,IL
98,13464.5,Charleston,WV
99,32138,Charleston,SC
100,32138,North Charleston,SC
101,134166.5,Charlotte,NC-SC
102,134166.5,Concord,NC-SC
103,134166.5,Gastonia,NC-SC
104,11037,Charlottesville,VA
105,23013,Chattanooga,TN-GA
106,5445.5,Cheyenne,WY
107,581982,Chicago,IL-IN-WI
108,581982,Naperville,IL-IN-WI
109,581982,Elgin,IL-IN-WI
110,6780.5,Chico,CA
111,117916.5,Cincinnati,OH-KY-IN
112,10482,Clarksville,TN-KY
113,3875.5,Cleveland,TN
114,116503,Cleveland,OH
115,116503,Elyria,OH
116,4750,Coeur d'Alene,ID
117,8491.5,College Station,TX
118,8491.5,Bryan,TX
119,28594,Colorado Springs,CO
120,7862,Columbia,MO
121,34066,Columbia,SC
122,13208,Columbus,GA-AL
123,5062,Columbus,IN
124,111252,Columbus,OH
125,23226.5,Corpus Christi,TX
126,4600,Corvallis,OR
127,11639.5,Crestview,FL
128,11639.5,Fort Walton Beach,FL
129,11639.5,Destin,FL
130,2995.5,Cumberland,MD-WV
131,432621.5,Dallas,TX
132,432621.5,Fort Worth,TX
133,432621.5,Arlington,TX
134,5385.5,Dalton,GA
135,2846.5,Danville,IL
136,6099,Daphne,AL
137,6099,Fairhope,AL
138,6099,Foley,AL
139,19326,Davenport,IA-IL
140,19326,Moline,IA-IL
141,19326,Rock Island,IA-IL
142,36558,Dayton,OH
143,5318.5,Decatur,AL
144,5827.5,Decatur,IL
145,14677,Deltona,FL
146,14677,Daytona Beach,FL
147,14677,Ormond Beach,FL
148,170253.5,Denver,CO
149,170253.5,Aurora,CO
150,170253.5,Lakewood,CO
151,41907.5,Des Moines,IA
152,41907.5,West Des Moines,IA
153,217945.5,Detroit,MI
154,217945.5,Warren,MI
155,217945.5,Dearborn,MI
156,4778.5,Dothan,AL
157,6213,Dover,DE
158,5105.5,Dubuque,IA
159,12289.5,Duluth,MN-WI
160,39839,Durham,NC
161,39839,Chapel Hill,NC
162,5522,East Stroudsburg,PA
163,7170.5,Eau Claire,WI
164,5690.5,El Centro,CA
165,5977,Elizabethtown,KY
166,5977,Fort Knox,KY
167,11350,Elkhart,IN
168,11350,Goshen,IN
169,3354.5,Elmira,NY
170,26530.5,El Paso,TX
171,3131,Enid,OK
172,10664.5,Erie,PA
173,13104,Eugene,OR
174,17150.5,Evansville,IN-KY
175,5340,Fairbanks,AK
176,13006.5,Fargo,ND-MN
177,7162,Farmington,NM
