U.S. metropolitan areas,2012,2013,avg
"Abilene, TX",6 397,6 922,"6659,5"
"Akron, OH",30 011,31 308,"30659,5"
"Albany, GA",5 127,5 247,5187
"Albany, OR",3 530,3 559,"3544,5"
"Albany-Schenectady-Troy, NY",45 731,47 094,"46412,5"
"Albuquerque, NM",38 955,37 897,38426
"Alexandria, LA",5 435,5 486,"5460,5"
"Allentown-Bethlehem-Easton, PA-NJ",33 995,35 624,"34809,5"
"Altoona, PA",4 778,4 928,4853
"Amarillo, TX",12 025,12 442,"12233,5"
"Ames, IA",4 416,4 429,"4422,5"
"Anchorage, AK",31 479,31 030,"31254,5"
"Ann Arbor, MI",19 826,20 260,20043
"Anniston-Oxford-Jacksonville, AL",3 823,3 690,"3756,5"
"Appleton, WI",10 758,10 801,"10779,5"
"Asheville, NC",14 710,15 280,14995
"Athens-Clarke County, GA",7 234,7 364,7299
"Atlanta-Sandy Springs-Roswell, GA",291 481,307 750,"299615,5"
"Atlantic City-Hammonton, NJ",12 653,12 770,"12711,5"
"Auburn-Opelika, AL",4 178,4 328,4253
"Augusta-Richmond County, GA-SC",21 010,21 155,"21082,5"
"Austin-Round Rock, TX",103 513,111 720,"107616,5"
"Bakersfield, CA",36 888,38 009,"37448,5"
"Baltimore-Columbia-Towson, MD",162 776,167 270,165023
"Bangor, ME",5 422,5 455,"5438,5"
"Barnstable Town, MA",10 193,9 964,"10078,5"
"Baton Rouge, LA",51 670,48 362,50016
"Battle Creek, MI",5 350,5 588,5469
"Bay City, MI",3 116,3 157,"3136,5"
"Beaumont-Port Arthur, TX",23 333,23 734,"23533,5"
"Beckley, WV",4 346,4 236,4291
"Bellingham, WA",9 610,10 047,"9828,5"
"Bend-Redmond, OR",6 421,6 882,"6651,5"
"Billings, MT",8 762,8 959,"8860,5"
"Binghamton, NY",9 032,9 119,"9075,5"
"Birmingham-Hoover, AL",57 609,57 699,57654
"Bismarck, ND",6 464,6 863,"6663,5"
"Blacksburg-Christiansburg-Radford, VA",6 271,6 335,6303
"Bloomington, IL",10 753,11 249,11001
"Bloomington, IN",6 384,6 192,6288
